text,label
Kita bisa kapan pun menyusun ulang jadwal konsultasi tugas akhir.,eyd
"Tapi Thompson & Co, kesempatan itu tidak akan datang sekali dalam seratus tahun.""",eyd
Itu di luar dugaannya.,eyd
"""Tapi aku tidak mengenal firma hukum ini.",eyd
"""Tentu saja tidak."" Profesor terkekeh di seberang telepon, ""Mereka adalah legenda hidup yang jarang diketahui.",eyd
"Mereka tidak semegah Latham & Watkins, atau seglamour Baker & McKenzie, penguasa firma hukum dunia, tapi nama Thompson & Co selalu disebut dengan penuh kehormatan.",eyd
Laksana manuskrip kuno dari belantara hukum yang kadangkala kejam.,eyd
"Kantor mereka seperti kuil suci, pengacara mereka adalah ksatrianya.",eyd
"Aku tidak ingat kapan terakhir kali lulusan Oxford pernah bergabung di sana, ini kesempatan terbaik bagimu.",eyd
"Berangkatlah ke Belgrave Square.""",eyd
Sementara kereta bawah tanah melesat menuju pusat kota London.,eyd
"Zaman menghembuskan nafas lega, dengan demikian, dia tidak perlu berhenti di stasiun kampus berikutnya, menutup telepon.",eyd
"Panggilan wawancara super mendadak ini sebenarnya membingungkan, dari sekitar enam aplikasi magang yang dia kirim.",eyd
Zaman tidak pernah mengirim aplikasi ke firma hukum itu.,eyd
Bagaimana mungkin dia tiba-tiba diundang interview?,eyd
Dan apa yang dibilang profesor pembimbingnya?,eyd
"Tiba di Belgrave Square, setidaknya dia paham sebagian istilah itu.",eyd
Lokasi kantor firma hukum ini dekat sekali dengan Istana Buckhingam.,eyd
"Bangunan putih empat lantai dengan gaya arsitektur klasik, terselip diantara kedutaan besar negara-negara penting.",eyd
"Jendela-jendela besar menghiasi dinding bangunan, lokasi Thompson & Co. amat berbeda dengan kantor firma hukum besar dunia yang berkantor di gedung pencakar langit, atau di jantung bisnis dan perusahaan multinasional.",eyd
Kantor firma ini seperti kastil kuno dibandingkan perkantoran modem.,eyd
"Hanya ada satu petugas yang menyambutnya di lobi, penjaga keamanan, petugas itu mengantarnya ke ruangan wawancara.",eyd
"Lantai kantor dari pualam tua, tiang-tiang tinggi yang kokoh, udara terasa hangat.",eyd
Zaman melangkah sambil menatap lekat sekeliling.,eyd
"Siapapun penghuni kantor ini, memiliki selera yang bagus, lorong-lorong dipenuhi benda seni, lukisan-lukisan terbaik terpajang di dinding.",eyd
"""Anda terlambat setengah jam.""",eyd
"Senior lawyer yang akan memawancarainya menatap tajam, duduk di seberang meja.",eyd
"Wajahnya masam, dia jelas tidak suka menunggu.",eyd
"Zaman menghela nafas, dia bahkan sudah berlarian dari stasiun Victoria, pakaiannya basah oleh keringat, entah sudah sekusut apa penampilannya, ""Saya sudah berusaha tiba tepat waktu, Sir.",eyd
"Tapi jadwal kereta bawah tanah London terlambat, jalanan kota juga padat, tidak ada alternatif.",eyd
Memintaku tiba di sini dalam waktu tiga puluh menit itu impossible.,eyd
"Kecuali jika menaiki helikopter—""",eyd
"""Lantas kenapa Anda tidak meminta helikopter kepada petugas kami yang menelepon?"" Senior lawyer berusia lima puluh tahun itu berseru dengan aksen daratan Inggris yang kental.",eyd
Zaman menelan ludah.,eyd
Zaman tidak tahu betapa seriusnya kalimat senior lawyer yang mewawancarainya.,eyd
"Firma hukum ini, memiliki dua helikopter, dan tiga pesawat jet pribadi, terpakir rapi di London City Airport.",eyd
"Kapan pun dibutuhkan, pilot akan menerbangkannya dengan cepat.",eyd
"""Baiklah, kita lupaka soal keterlambatanmu.",eyd
"Silahkan duduk."" Zaman duduk di kursi kayu.",eyd
"""Namaku Eric Morning, senior laivyer Thompson & Co.",eyd
"Anda bisa memanggilku langsung Eric, aku tidak keberatan.",eyd
Aku yang akan mewawancaraimu setangah jam ke depan.,eyd
"Empat pertanyaan, empat jawaban, interview ini selesai.""",eyd
Zaman mengangguk.,eyd
"""Anda memang tidak pernah mengirim aplikasi ke kami, jadi tidak perlu mengingat-ingatnya.",eyd
Kami tidak menerima aplikasi dari manapun.,eyd
Firma hukum ini memiliki pendekatan yang berbeda.,eyd
"Kami bukan yang terbesar secara statistik, dan kami memang tidak tertarik dengan berapa jumlah karyawan."" Eric seperti bisa mengerti raut muka bingung Zaman.",eyd
"""Di luar paralegal, staf dan petugas pendukung, firma hukum ini hanya digerakkan oleh satu partner, Sir Thompson sendiri, dengan enam senior laivyer.",eyd
"Ketika salah-satu dari mereka pergi, entah itu partner, atau senior laivyer, kami baru merekrut anggota baru.",eyd
Satu senior laivyer kami pensiun dua minggu lalu setelah mengabdi enam puluh tahun di firma ini.,eyd
"Dan disinilah Anda sekarang, salah-satu kandidat.",eyd
Kami mengundang dua belas mahasiswa fakultas hukum terbaik dari seluruh dunia untuk mencari calon penggantinya.,eyd
"Anda yang ke dua belas, orang terakhir yang harus kutemui.",eyd
"Anda sudah siap?""",eyd
"Tanpa basa-basi lagi, Eric memulai wawancara.",eyd
"Zaman terdiam, menelan ludah.",eyd
Itu bukan model wawancara magang biasa.,eyd
Itu pengalaman yang sangat berbeda.,eyd
"Ada empat pertanyaan dalam wawancara itu, dia tidak diuji tentang pengetahuan hukum, simulasi kasus, pendapatnya tentang sebuah keputusan, atau tentang motivasi kerja, kemampuan kerjasama tim, preferensi karir, dan sebagainya.",eyd
"Satu dari empat pertanyaan itu hanya tentang: jika berkata jujur akan membuat empat orang jahat terbunuh mengenaskan, sedangkan berbohong akan membuatnya selamat, maka pilihan apa yang akan Anda ambil ?",eyd
"Setengah jam berlalu, senior lazvyer menutup wawancara, bilang hasilnya akan diberitahukan beberapa hari kemudian.",eyd
"""Selamat pagi."" Petugas pintu depan menyapa ramah, memutus kenangan dua tahun lalu.",eyd
"Zaman membalas salam pendek, dia barusaja menaiki tiga anak tangga, melewati pintu depan.",eyd
"""Biar aku saja yang menggantungkannya.",eyd
"Anda sudah ditunggu di ruang meeting."" Petugas mengulurkan tangan demi melihat Zaman melepas mantel tebalnya.",eyd
"""Terima kasih."" Zaman mengangguk.",eyd
Masih memegang bungkusan roti isi daging.,eyd
"Zaman melangkah di lorong bangunan, menuju ruang pertemuan dengan pintu terbuka.",eyd
"Dua orang telah menunggu di sana, sibuk membaca berkas di atas meja, sesekali berdiskusi serius.",eyd
"Perapian menyala, membuat ruangan terasa hangat.",eyd
"""Selamat pagi, Sir Thompson."" Zaman menyapa lebih dulu.",eyd
Orang yang dipanggil Sir mengangkat kepalanya dari kertas di atas meja.,eyd
"Usianya sekitar 75 tahun, rambutnya memutih, tapi gurat wajahnya berwibawa, aksen suaranya berat, fisiknya masih kokoh.",eyd
"""Ah, akhirnya kamu tiba.",eyd
"Sempurna tepat waktu.""",eyd
"""Dia tidak pernah terlambat lagi sejak wawancara dua tahun lalu."" Eric yang dulu mewawancarai Zaman, duduk di sebelah Sir Thompson tertawa kecil, ""Silahkan duduk.",eyd
"Tolong pintunya ditutup lebih dulu.""",eyd
"Zaman menutup pintu, kemudian menarik kursi yang terbuat dari kayu jati, duduk.",eyd
"Sedikit kikuk, dia tidak tahu di mana baiknya meletakkan bungkusan roti isi daging.",eyd
"""Kita belum pernah bicara secara langsung, bukan?"" Sir Thompson bertanya.",eyd
"Zaman mengangguk—dia hanya beberapa kali berada satu ruangan dengan SirThompson, atau satu acara, atau saling menyapa pendek saat bertemu di lorong kantor, tidak lebih dari itu.",eyd
"""Sudah berapa lama kamu menjadi associate di firma ini?"" Sir Thompson bertanya lagi—tepatnya itu hanya basa-basi pembuka percakapan, dia jelas tahu persis.",eyd
"Hanya ada enam lawyer senior di kantor (satunya telah pensiun), satu associate, itu bukan jumlah yang terlalu banyak untuk diingat.",eyd
"""Well, satu tahun....",eyd
Itu waktu yang sangat singkat.,eyd
"Aku dulu butuh enam tahun agar ayahku mempercayaiku menjadi satu diantara enam lawyer.” Sir Thompson mengangguk takjim, ""Tapi Eric memuji tinggi hasil pekerjaanmu, termasuk prestasi setahun sebelumnya di masa magang.",eyd
"Aku tidak tahu apakah ini akan jadi keputusan yang baik, tapi sepertinya tidak ada pilihan lain....",eyd
Kita sedang dalam situasi khusus.,eyd
"Firma hukum ini membutuhkan keahlian lawyer terbaiknya.""",eyd
Zaman mendengarkan seksama setiap kata.,eyd
"Dia tidak akan dipanggil pagi buta hari Sabtu ke kantor jika ini tidak mendesak, dan Sir Thompson tidak akan bicara langsung padanya jika ini tidak penting.",eyd
Dua hal itu cukup untuk menggenapi kriteria 'situasi khusus'.,eyd
Apa yang sedang terjadi?,eyd
"""Kamu sudah bisa menebaknya.",eyd
"Kabar duka."" Sir Thompson melanjutkan penjelasan, langsung ke poin percakapan, ""Salah-satu klien besar firma hukum telah meninggal enam jam lalu di Paris—sejujurnya aku baru tahu betapa besarnya klien ini.",eyd
"Eric menerima informasi itu sembilan puluh menit lalu, memeriksa satu-dua hal, menemukan fakta yang mencengangkan, lantas bergegas memberitahuku.",eyd
"Sesuai prosedur firma, pertemuan ini harus segera dilakukan.",eyd
"Karena kita akan menangani warisan klien tersebut, melakukan settlement.”",eyd
"""Kamu bisa menebak berapa nilai warisannya?""",eyd
"Zaman menggeleng, dia tidak punya ide sama sekali.",eyd
Dua ratus juta poundsterling?,eyd
Itu angka rata-rata nilai harta warisan klien firma hukum ini.,eyd
"Atau lebih besar—karena Sir Thompson menyebutnya salah-satu klien firma besar, lima ratus juta poundsterling mungkin?",eyd
"""Dengan harga saham penutupan kemarin sore, nilainya satu milyar poundsterling, Zulkamaen."" Sir Thompson mengusap rambut putihnya.",eyd
Apakah dia tidak keliru mendengar?,eyd
"""Kamu tidak salah mendengarnya, Zulkarnaen....",eyd
Klien ini mewariskan aset berbentuk kepemilikan saham senilai satu milyar poundsterling.,eyd
"Dalam mata uang asal negaramu, itu setara 19 triliun rupiah, bukan?",eyd
"Dengan warisan sebesar itu, dia lebih kaya dibanding Ratu Inggris dan keluarganya.",eyd
"Namanya bisa masuk dalam 100 orang terkaya di Kerajaan Inggris."" Sir Thompson menghela nafas, ""Tapi selain nilai warisan yang luar biasa besar itu, kita punya masalah serius, karena ini jenis penyelesaian harta warisan yang amat pelik sekaligus menarik.""",eyd
Sir Thompson meraih selembar kertas di atas meja kayu jati.,eyd
"Zaman menatap Sir Thompson, menunggu.",eyd
"""Kamu tahu, tempat tinggal klien ini terakhir kali?""",eyd
Zaman kembali menggeleng.,eyd
Salah-satu properti paling mahal di Eropa?,eyd
"""Alamat surat-menyurat terakhir kali klien tersebut adalah panti jompo di Paris.",eyd
"Juga telepon pemberitahuan yang diterima oleh Eric tadi pagi, dari alamat tersebut.",eyd
"Seorang petugas panti yang menelepon."" Sir Thompson berseru, ""Aku sudah menjadi pengacara spesialis penyelesaian warisan selama lima puluh tahun.",eyd
Firma ini juga sudah menangani ratusan orang kaya dunia.,eyd
"Ayahku menyelesaikan begitu banyak kasus menarik sejak tahun 1919, satu-dua dari kasus itu seolah tidak bisa dipercaya, tapi yang satu ini, crazy, seseorang dengan harta senilai satu milyar poundsterling menghabiskan masa tuanya di panti jompo?",eyd
"Kamu pernah menemukan kasus seperti ini, Eric?""",eyd
"""Seperti kubilang Sir Thompson, boleh jadi dia adalah orang kaya yang sangat eksentrik."" Eric memberi pendapat.",eyd
"""Boleh jadi, tapi membaca profilnya, aku berani bertaruh dia lebih mirip seperti orang kebanyakan."" Sir Thompson meraih kertas lain, membaca dari sana, ""Seorang perempuan tua, berusia 70 tahun, dan sepuluh tahun terakhir tinggal di panti jompo.",eyd
Pemegang paspor Inggris serta ijin menetap di Perancis.,eyd
Aktif dalam kegiatan berkebun di panti jompo.,eyd
"Tidak ada eksentrik kaya yang berkebun, Eric.",eyd
"Itu pekerjaan penuh kesabaran.""",eyd
"""Atau kemungkinan lain, dia tidak tahu jika memiliki kekayaan sebesar itu, Sir.",eyd
"Kita juga baru tahu jika nilai warisannya sebesar itu setelah staf firma memeriksa nilai kapitalisasi perusahaan di pasar modal."" Eric menambahkan hipotesis.",eyd
"Sir Thompson mengangguk lamat-lamat, ""Itu kemungkinan yang paling masuk akal.""",eyd
"Perapian bergemeletuk pelan, nyala api yang membakar kayu bakar membuat ruangan hangat.",eyd
"""Apakah dia memiliki ahli waris?"" Zaman bertanya— kalimat pertamanya.",eyd
"""Nah, itu yang membuat kasus ini menarik, Zulkamaen.",eyd
Firma hukum kita hanya menyimpan surat keterangan jika wanita tua ini adalah pemilik sah 1% surat saham di perusahaan besar.,eyd
"Surat keterangan itu dititipkan beberapa tahun lalu oleh pihak ketiga, melalui pos.",eyd
"Crazy, hanya dikirim lewat pos.",eyd
"Surat itu menjelaskan jika terjadi sesuatu dengan nama yang tertulis di sana, akan ada telepon yang menghubungi firma kita, dan atas situasi tersebut, Thompson & Co diberikan mandat untuk menyelesaikan harta warisan wanita tua ini seadil-adilnya sesuai hukum yang berlaku.""",eyd
"""Itu berarti tidak ada surat wasiatnya?""",eyd
"""Tidak ada."" Eric yang kali ini menjawab, ""Hanya surat keterangan yang aku sendiri tidak menduga akan sepenting itu.",eyd
Terima kasih untuk petugas arsip yang selalu menyimpan semua dokumen dengan rapi.,eyd
"Surat itu bisa kapanpun terselip tanpa sengaja.""",eyd
"Zaman berkata pelan, ""Jika klien ini tidak memiliki pewaris yang sah, kita bisa berdebat panjang dengan hakim pengadilan menyelesaikan kasusnya.",eyd
"Belum lagi surat keterangan itu, posisi kita tidak terlalu kuat jika firma hukum lain datang dengan ahli waris sah.""",eyd
"""Tepat sekali."" Sir Thompson mengangguk, ""Tapi biarlah itu kita cemaskan nanti, sekarang kita harus memastikan kasus ini ditangani secepat mungkin.",eyd
"Surat keterangan itu. bersama beberapa dokumen dan informasi klien ini akan diserahkan kepadamu.""",eyd
Diserahkan kepadaku ?,eyd
"""Yeah, kamu yang akan menangani kasus ini, Zulkamaen.""",eyd
Zaman mematung.,eyd
Dia akhirnya mengerti maksud pertemuan pagi ini.,eyd
"Awalnya dia mengira hanya diminta membantu riset atau investigasi Eric, seperti yang biasa dia lakukan selama ini.",eyd
"""Sudah saatnya kamu menangani sebuah kasus penting secara mandiri, Zulkarnaen.",eyd
"Aku tahu, kamu baru dua tahun bergabung dengan firma ini, tapi ada sesuatu yang sangat spesial.",eyd
"Aku menyimak wawancaramu saat diterima magang, jawabanmu atas empat pertanyaan mengesankan.",eyd
Itu jawaban terbaik.,eyd
"Juga pendapatmu dalam beberapa kasus yang kamu kerjakan setahun terakhir, itu sangat menarik....",eyd
"Maka, meski aku seringkali tidak sependapat dengannya, kali ini Eric benar, kamu sudah siap, Zulkarnaen.",eyd
"Kasus ini akan diserahkan secara penuh kepadamu.""",eyd
"Zaman hendak protes, keberatan.",eyd
"""Ada tujuh kursi di ruangan pertemuan ini."" Sir Thompson mengangkat tangan, menyuruhnya diam.",eyd
"""Satu kursi untuk partner firma, itu berarti aku, enam kursi yang lain untuk lawyer senior.",eyd
"Satu dari enam kursi itu kosong sejak John Sinatra mengundurkan diri pensiun."" Sir Thompson menunjuk salah-satu bangku, ""Kursi itu kosong dua tahun terakhir.",eyd
"Jika kamu berhasil menyelesaikan kasus ini dengan baik, kursi itu akan menjadi milikmu, Zulkarnaen.""",eyd
"""Aku harus mengingatkan, firma hukum ini berbeda dengan ribuan firma hukum lainnya.",eyd
Ayahku mendirikan firma ini dengan prinsip-prinsip yang kokoh.,eyd
Penuh kehormatan.,eyd
"Kita adalah ksatria hukum, berdiri tegak di atas nilai-nilai luhur.",eyd
"Kamu akan memastikan wanita tua yang malang itu mendapatkan penyelesaian warisan seadil mungkin menurut hukum, dia akan beristirahat dengan tenang jika tahu, harta warisannya telah diselesaikan dengan baik, tidak berakhir di Bona Vacantia, atau lebih serius lagi, jatuh kepada penipu.""",eyd
"Sir Thompson berdiri, juga diikuti oleh Eric.",eyd
Zaman ikut berdiri.,eyd
"""Eric, aku tidak bisa berlama-lama, aku harus terbang ke Florence, cucuku ulang tahun hari ini, dia memaksaku hadir di acaranya.",eyd
"Pastikan setiap ada kemajuan penting, aku mendapat kabar."" Eric mengangguk.",eyd
"Sir Thompson sekarang menepuk-nepuk bahu Zaman, ""Selamat bertugas, Zulkarnaen."" Lantas melangkah meninggalkan ruangan pertemuan, menyisakan Eric dan Zaman.",eyd
"Zaman menghela nafas panjang—setelah punggung Sir Thompson hilang dibalik pintu, meraih selembar kertas di atas meja.",eyd
Sudut matanya membaca nama di sana.,eyd
Zaman menoleh ke Eric.,eyd
Nama klien tersebut Sri Ningsih?,eyd
Pemilik harta warisan senilai 19 trilyun rupiah yang barusaja meninggal itu orang Indonesia?,eyd
Bukankah Sir Thompson bilang wanita tua itu memegang paspor Inggris?,eyd
"Eric tertawa, mengangguk, ""Itulah kenapa kamu yang ditunjuk menyelesaikan settlement wasiat ini.",eyd
"Dia memang orang Indonesia, asal negaramu.",eyd
"Kamu bisa menelusuri kehidupan masa lalunya dengan mudah, termasuk mencari ahli warisnya yang mungkin masih hidup.",eyd
"Bergegas, pesawat jet telah menunggumu di bandara, kamu harus segera ke Paris, mengunjungi panti jompo.",eyd
"Aku akan menyuruh beberapa staf membantumu dari London."" Zaman mengangguk, tidak ada waktu untuk bercakap- cakap lagi, dia hafal SOP firma, setiap ada situasi khusus seperti ini, semakin cepat firma hukumnya bertindak, semakin baik.",eyd
"Zaman bergegas membereskan berkas- berkas di atas meja, mengepitnya, kemudian melangkah menuju pintu.",eyd
"""Hei, Zaman,"" Eric berseru.",eyd
"""Kamu lupa bungkusan roti isi dagingmu!",eyd
"Tertinggal di bawah kursi.""",eyd
"Awalnya, Zaman tidak terlalu tertarik bekerja di Thompson & Co.",eyd
"Sekembali dari wawancara dengan Eric, dia melupakannya, bulan-bulan itu.",eyd
Zaman melakukan lebih dari empat interview magang di firma hukum lainnya—yang lebih glamour dan terkenal.,eyd
"Hingga dua hari kemudian, jadwal bertemu dengan profesor di kampus, membahas tugas akhir kuliah.",eyd
"""Bagaimana interviewmu di Belgrave Square?"" Profesor justru bertanya hal itu saat memulai percakapan di ruang kerjanya.",eyd
"""Eh?"" Zaman yang sedang membawa tumpukan kertas tugas akhir dengan coretan perbaikan menatap balik, tidak mengerti.",eyd
"""Oh, interview itu.",eyd
Baik-baik saja.,eyd
"""Kamu diterima?""",eyd
"Zaman menggeleng, ""Mereka baru akan memberitahu beberapa hari lagi.""",eyd
"""Kamu sepertinya tidak terlalu antusias, anak muda.""",eyd
"Zaman mengangkat bahu, ""Saya bahkan tidak tahu itu firma hukum apa.",eyd
"Prof."" ""Kenapa kamu tidak berusaha mencari tahu siapa mereka?""",eyd
"""Aku sempat menghabiskan setengah hari mencari tahu lewat internet, sedikit sekali entry yang pernah memuat mereka.",eyd
"Juga setengah hari lagi melihat database perpustakaan Oxford University, hanya disebut satu-dua kali.",eyd
Aku tidak punya ide sama sekali mereka firma hukum apa?,eyd
Apakah merger dan akuisisi?,eyd
Pengacara cedera pribadi?,eyd
Atau pengacara artis-artis terkenal?,eyd
"Atau jangan-jangan dengan sedikitnya informasi publik, mereka adalah pengacara bagi mafia, diktator, penguasa shadow economy.""",eyd
"Profesor tertawa, menggeleng, ""Karena mereka simply menjauhi publikasi.",eyd
Tetapi buat apa?,eyd
"Bukankah firma hukum hari ini justeru berlomba-lomba berebut kasus paling penting, paling disorot media, aktif dalam strategi pencitraan, melakukan kampanye pemasaran dan sebagainya.",eyd
"""Karena mereka berbeda."" Profesor menjawab ringan.",eyd
"Zaman menatap profesornya, tetap tidak mengerti.",eyd
"""Baiklah, akan kuceritakan sesuatu dari sedikit pengetahuanku tentang Thomposn & Co.",eyd
"Semua off the record, aku juga tahu karena salah-satu lawyer senior mereka dulu adalah rekanku saat kuliah hukum.",eyd
"Tidak banyak yang dia ceritakan, karena kami juga jarang bertemu dan dia tidak tertarik membicarakan pekerjaan, tapi aku bisa menyimpulkan sesuatu yang menarik dari tempat bekerjanya.""",eyd
Profesor memperbaiki posisi duduknya.,eyd
"""Kisah ini bermula dari Perang Dunia Pertama tahun 1914- 1918.",eyd
"Perang yang membuat 10 juta tentara tewas, 20 juta pulang dengan luka berat, 7,5 juta lainnya hilang tanpa berita.",eyd
"Inggris yang terlibat dalam perang itu, kehilangan banyak sekali warganya.",eyd
"Perang memaksa tua muda, kaya miskin, siapapun yang masih sehat dan kuat, pergi ke medan pertempuran.",eyd
Itu masa-masa menyedihkan.,eyd
Orang tua kehilangan anak-anak.,eyd
Bayi-bayi kehilangan orang tua.,eyd
"Istri kehilangan suami, saudara kehilangan adik-kakak, dan kekasih kehilangan pasangannya.""",eyd
Apa korelasinya firma hukum itu dengan PD Pertama?,eyd
"""Korelasinya sederhana.",eyd
"Tanpa disadari, perang membawa implikasi panjang dalam hukum warisan.",eyd
"Zaman, banyak keluarga kaya raya kehilangan pewaris, karena anak-anaknya atau anggota keluarganya tewas di medan perang.",eyd
"Saat pemilik harta itu juga meninggal, itu menjadi masalah serius bagi bangsawan kaya di Inggris, karena mereka meninggalkan properti bernilai besar.",eyd
"""Thompson Senior adalah pahlawan perang di Angkatan Laut kerajaan Inggris.",eyd
"Pangkat terakhirnya adalah Mayor, dia memimpin salah-satu kapal dalam perang mahsyur Battle ofthe Falkland Islands.",eyd
Mayor Thompson memperoleh medali tertinggi dari Ratu Inggris langsung.,eyd
"Setelah perang dunia pertama, dia kembali ke London, pensiun dari AL, melanjutkan karirnya sebagai pengacara, karena dia memang menghabiskan masa mudanya belajar di sekolah hukum.",eyd
"""Thompson Senior adalah orang pertama yang menyadari situasi berbahaya dari begitu banyaknya harta warisan yang tidak dapat diwariskan.",eyd
